Setting,Recognize,Remember,Respond,UTC Timestamp,Recognizing Party,Remembering Party,Responding Party,Risk Score
Event entry,Ticket,Event attendee list,Allow entry,2024-07-30T12:39:47.581452+00:00,Party_84,Party_62,Party_67,54
Computer login,Password/biometric,Authorization registry,Grant access to system,2024-07-30T12:39:47.581370+00:00,Party_25,Party_61,Party_38,8
Smart home,Voice command,Device settings,Execute command,2024-07-30T12:39:47.581409+00:00,Party_79,Party_88,Party_14,16
Online subscription,Subscription ID,Subscription records,Grant access to content,2024-07-30T12:39:47.581355+00:00,Party_48,Party_84,Party_26,8
Computer login,Password/biometric,Authorization registry,Grant access to system,2024-07-30T12:39:47.581370+00:00,Party_25,Party_61,Party_38,8
Gym access,Membership card,Member database,Grant entry,2024-07-30T12:39:47.581257+00:00,Party_19,Party_29,Party_100,32
Online subscription,Subscription ID,Subscription records,Grant access to content,2024-07-30T12:39:47.581355+00:00,Party_48,Party_84,Party_26,8
USCIS Form I-9,Passport,Archive form I-9,Hire,2024-07-30T12:39:47.581393+00:00,Party_30,Party_40,Party_80,46
Warehouse,RFID tag,Inventory system,Track item,2024-07-30T12:39:47.581402+00:00,Party_35,Party_49,Party_24,30
Work for hire,Role-based access,Permission structure,Adopt employee output,2024-07-30T12:39:47.581289+00:00,Party_40,Party_63,Party_68,95
Customer support,Ticket number,Support history,Resolve issue,2024-07-30T12:39:47.581378+00:00,Party_18,Party_22,Party_66,8
Corporate network,VPN credentials,Access logs,Grant network access,2024-07-30T12:39:47.581305+00:00,Party_79,Party_65,Party_90,59
Online education,Student ID,Grades,Provide feedback,2024-07-30T12:39:47.581313+00:00,Party_79,Party_55,Party_78,16
Online banking,OTP,Transaction history,Authorize transaction,2024-07-30T12:39:47.581444+00:00,Party_96,Party_30,Party_58,66
Smart home,Voice command,Device settings,Execute command,2024-07-30T12:39:47.581409+00:00,Party_79,Party_88,Party_14,16
Factory/office,Key card,Employee ID registry,Unlock door,2024-07-30T12:39:47.581336+00:00,Party_2,Party_37,Party_38,62
Smart home,Voice command,Device settings,Execute command,2024-07-30T12:39:47.581409+00:00,Party_79,Party_88,Party_14,16
Online subscription,Subscription ID,Subscription records,Grant access to content,2024-07-30T12:39:47.581355+00:00,Party_48,Party_84,Party_26,8
Online forum,Username,Post history,Allow posting,2024-07-30T12:39:47.581363+00:00,Party_20,Party_48,Party_94,39
Computer login,Password/biometric,Authorization registry,Grant access to system,2024-07-30T12:39:47.581370+00:00,Party_25,Party_61,Party_38,8
Customer support,Ticket number,Support history,Resolve issue,2024-07-30T12:39:47.581378+00:00,Party_18,Party_22,Party_66,8
Online interactions,Username,Cookies,Custom content/ads,2024-07-30T12:39:47.581386+00:00,Party_88,Party_66,Party_83,15
USCIS Form I-9,Passport,Archive form I-9,Hire,2024-07-30T12:39:47.581393+00:00,Party_30,Party_40,Party_80,46
Warehouse,RFID tag,Inventory system,Track item,2024-07-30T12:39:47.581402+00:00,Party_35,Party_49,Party_24,30
Smart home,Voice command,Device settings,Execute command,2024-07-30T12:39:47.581409+00:00,Party_79,Party_88,Party_14,16
Law office,Law school diploma,Law school records,Admission to practice,2024-07-30T12:39:47.581417+00:00,Party_19,Party_9,Party_100,42
University exam,Student ID,Enrollment records,Permit exam participation,2024-07-30T12:39:47.581426+00:00,Party_99,Party_23,Party_66,77
Voting booth,Voter ID,Voter registry,Allow voting,2024-07-30T12:39:47.581436+00:00,Party_82,Party_81,Party_41,19
Online banking,OTP,Transaction history,Authorize transaction,2024-07-30T12:39:47.581444+00:00,Party_96,Party_30,Party_58,66
Event entry,Ticket,Event attendee list,Allow entry,2024-07-30T12:39:47.581452+00:00,Party_84,Party_62,Party_67,54
